Begin Time - ss.msec,End Time - ss.msec,Duration - ss.msec,CGR_type,CGR_modality,pointing_type,CGR,CGR_sensitivity,subject,point_directedness,point_modality,comprehension,production
398.97,400.12,1.15,Obj-Descrip,Gestural + Vocal,ODP,[points to characters] Grover. Elmo.,Sen,subj_76,object,Point,387,175
354.71,358.42,3.71,Demo,Gestural + Vocal,ODP,[plays w the toy] Peak-a-boo!,Sen,subj_87,object,Point,277,45
358.9,360.92,2.02,Demo,Gestural + Vocal,ODP,[plays w the toy] I see you.,Sen,subj_87,object,Point,277,45
543.4,547.7,4.3,Conv-Holder,Gestural + Vocal,SDP,[plays w the baby] [baby farts] Excuse you,Sen,subj_87,social,Point,277,45
548.25,552.03,3.78,Conv-Holder,Gestural + Vocal,SDP,[tickles the baby] Gonna get you get you get you...,Sen,subj_87,social,Point,277,45
552.45,554.85,2.4,Conv-Holder,Gestural + Vocal,SDP,[tickles the baby] I'm gonna get you get you get you...,Sen,subj_87,social,Point,277,45
571.29,573.43,2.14,Conv-Holder,Gestural + Vocal,SDP,[tickles the baby] Gonna get you get you get you...,Sen,subj_87,social,Point,277,45
580.91,582.41,1.5,Com-Nar,Gestural + Vocal,SDP,[brings up the baby] I gotcha,Sen,subj_87,social,Point,277,45
596.42,598.24,1.82,Obj-Descrip,Gestural + Vocal,SDP,[throws the toy] Where did it go?,Sen,subj_87,social,Point,277,45
884.01,886.79,2.78,Com-Nar,Gestural + Vocal,ODP,[plays w the baby] Where's Natalie?,Sen,subj_87,object,Point,277,45
536.95,538.15,1.2,NA,Gestural,SDP,[plays w the baby],Sen,subj_87,social,Point,277,45
538.34,542.7,4.36,NA,Gestural,SDP,[plays w the baby],Sen,subj_87,social,Point,277,45
664.91,666.42,1.51,NA,Gestural,SDP,[lifts the baby up and down],Sen,subj_87,social,Point,277,45
674.26,675.43,1.17,Obj-Descrip,Gestural + Vocal,ODP,[points] Elmo.,Sen,subj_91,object,Point,162,0
766.28,768.28,2,NA,No Response,ODP,NA,NSen,subj_91,object,Point,162,0
325.49,327.11,1.62,Com-Nar,Gestural + Vocal,SDP,[plays w baby's feet] Flynn's feet,Sen,subj_96,social,Point,325,127
450.58,452.11,1.53,Obj-Descrip,Gestural + Vocal,ODP,[picks up a toy] you want the ball?,Sen,subj_99,object,Point,177,28
546.45,548.43,1.98,NA,No Response,UDPV,NA,NSen,subj_99,undirected,Point + Vocalization,177,28
